Laubsängerweg		PK 25	Freigabe 5/2012	okay		53.5989208	9.8893895
Laufgraben		PK 17		okay		53.5670672	9.9750463
Leinpfad (Maria-Louisenstraße – Krugkoppelbrücke)		PK 33		pruefen			
Lessingstraße		PK 31	Freigabe 6/2012	okay		53.5649231	10.0314277
Lißmannseck		PK 31	Freigabe 6/2012	okay		53.594682	10.0471188
Lohhof		PK 41	Freigabe 5/2012	okay		53.5584019	10.0530925
Lohkampstraße		PK 27		okay		53.6153718	9.8786509
Lorenzengasse		PK 33	Freigabe 11/2012	okay		53.5847465	10.0202055
Lothringer Straße		PK 37		okay		53.5817235	10.0574081
Löwenstraße		PK 23		okay		53.5870332	9.9733362
Lüdemannstraße		PK 25	Freigabe 5/2012	okay		53.5640015	9.8795297
Ludwigstraße		PK 16	Freigabe 6/2012	okay		53.5599194	9.9657738
Luisenweg		PK 41	Freigabe 4/2012	okay		53.5476721	10.0452776
Lünckenweg		PK 31		pruefen			
Maimoorweg		PK 36		okay		53.6067855	10.0755799
Marckmannstraße		PK 41		okay		53.5329346	10.0537346
Maria-Louisen-Steig		PK 33	inzwischen freigegeben (12/14)	pruefen			
Marienstraße		PK 46		okay		53.4575776	9.9718253
Marienthaler Stra0e		PK 41		okay		53.5615637	10.0417805
Marktstraße (weitgehend)		PK 16		pruefen			
Martensweg		PK 31	Freigabe 6/2012	okay		53.5806849	10.0220304
Martin-Haller-Ring		PK 33		okay		53.5872152	10.0259964
Martin-Leuschel-Ring		PK 46	Freigabe 2012	okay		53.4635804	9.9782155
Maybachstraße		PK 36		okay		53.599246	10.0580523
Meckelburgsweg		PK 44	Freigabe 3/2012	okay		53.527193	10.0184098
Meerweinstraße		PK 33		okay		53.5853451	10.0238758
Meldorfer Straße		PK 23		okay		53.5851294	9.9739943
Mendelssohnstraße		PK 25	Freigabe 6/2012	okay		53.5642612	9.9164582
Meßdorfweg		PK 26	Freigabe 6/2012	pruefen			
Mesterfeldweg		PK 27		okay		53.602937	9.8989423
Mettlerkampsweg (Elisabethgehölz - Horner Weg)		PK 41		pruefen			
Metzer Straße		PK 37	Freigabe 5/2012	okay		53.5811797	10.0589853
Mewesweg		PK 47	Freigabe 6/2012	okay		53.5346882	9.8767956
Meyerstraße		PK 46		okay		53.4637496	9.9609341
Moltkestraße		PK 23		okay		53.5799283	9.9722785
Moorhof		PK 35		okay		53.6622622	10.0856063
Mörickestraße		PK 26	Freigabe 6/2012	pruefen			
Mozartstraße (Humboldtstr – Imstedt)		PK 31		pruefen			
Müggenburg		PK 47	Freigabe 6/2012	okay		53.5317892	9.8817765
Narzissenweg		PK 37	frei 1/2014	okay		53.5862643	10.0807138
Neanderstraße		PK 14	Freigabe 1/2012	okay		53.549358	9.9779785
Nerlichsweg		PK 41	Freigabe 5/2012	okay		53.5619372	10.0547475
Neue Wöhr		PK 31	Freigabe 6/2012	okay		53.598452	10.0392869
Neuer Fährweg		PK 47	Freigabe 6/2012	okay		53.532074	9.7925643
Neuer Weg		PK 43	Zweirichtungsstraße nachteilig umgebaut 5/2014	okay		53.4849344	10.212462
Neumünstersche Straße		PK 23		okay		53.5830951	9.9731938
Nobistor		PK 21	Freigabe 6/2012	okay		53.5505239	9.953425
Norburger Stieg		PK 25	Freigabe 6/2012	okay		53.5665414	9.9103525
Norburger Straße (Norburger Stieg - Boschstr.)		PK 25		pruefen			
Novalisweg		PK 33		okay		53.586734	10.0234595
O'Swaldstraße (Horner Weg – Am Gojenboom)		PK 42		pruefen			
Oberstraße -Ringumfahrt-		PK 17	Freigabe 2/2012	pruefen			
Odenwaldstraße		PK 23		okay		53.5794547	9.9519836
Oertzweg		PK 36		okay		53.5948188	10.0558934
Ohnsorgweg		PK 25	Freigabe 5/2012	okay		53.5551894	9.869996
Ole Wisch		PK 36		okay		53.6061573	10.0658008
Osterbrook		PK 41		okay		53.547844	10.0547734
Ottenser Hauptstraße		PK 21		okay		53.5521773	9.9329204
Otterkaken		PK 44	Freigabe 2/2012	pruefen			
Ottersbekallee		PK 23		okay		53.5779318	9.9561144
Otto-Ernst-Straße		PK 25		okay		53.5582309	9.8789262
Overbekstraße		PK 31		pruefen			
Parkallee		PK 17	Freigabe 3/2012	okay		53.5734031	9.9840073
Passierzettel/AmGleise		PK 44	Freigabe 3/2012	pruefen			
Paul-Roosen-Straße		PK 16		okay		53.5530637	9.9585919
Peiffersweg		PK 31	Freigabe 6/2012	okay		53.5932052	10.0490935
Peterskampweg		PK 41	Freigabe 7/2012	okay		53.5617533	10.0508364
Pfauenweg		PK 31		okay		53.5875456	10.0568696
Poelsweg		PK 41	Freigabe 5/2012	okay		53.5607995	10.062723
Pöseldorfer Weg		PK 17	Freigabe 2/2012	okay		53.5740434	9.998227
Prätoriusweg		PK 23		okay		53.5801674	9.9527844
Pulverteich		PK 11		okay		53.5533924	10.0147177
Querstraße		PK 15		okay		53.5488863	9.9603149
Rambatzweg		PK 33	Freigabe 11/2012	okay		53.5844725	10.0208772
Rantzaustraße		PK 37		okay		53.5696467	10.0712684
Rautenbergstraße		PK 11		okay		53.5564078	10.0062655
Rebeccaweg		PK 37		okay		53.5633188	10.0687424
Redder		PK 35		okay		53.6438387	10.1148987
Regerstraße		PK 25	Freigabe 6/2012	okay		53.5666863	9.9066972
Reichardtstraße		PK 25	Freigabe 6/2012	okay		53.5654971	9.9173703
Reiherhoopweg		PK 46	Freigabe 2012	okay		53.4502589	9.961809
Reinfeldstraße		PK 17		okay		53.5655087	9.9768267
Rellinger Straße		PK 23	Freigabe 4/2012	okay		53.5760582	9.9406862
Rendsburger Straße		PK 15	Freigabe 2012	okay		53.5516608	9.9642644
Resskamp		PK 26	Freigabe 6/2012	okay		53.5733786	9.8626926
Richterstraße		PK 31	Freigabe 6/2012	okay		53.5760362	10.0157279
Rispenweg		PK 25	Freigabe 6/2012	okay		53.5978423	9.8899293
Rombergstraße		PK 23		okay		53.5779804	9.9459467
Roonstraße		PK 23		okay		53.5790859	9.9701608
Rosamstwiete		PK 31	Freigabe 6/2012	okay		53.5942533	10.0477889
Rothesoodstraße		PK 14	Freigabe 10/2012	okay		53.5476527	9.9746579
Sandbek		PK 47	Freigabe 6/2012	okay		53.472689	9.8209034
Sanitasstr.		PK 44	Freigabe 2/2012	pruefen			
Schachblumenweg		PK 27	Freigabe 5/2012	okay		53.6132601	9.8825604
Schadesweg		PK 41	Freigabe 5/2012	okay		53.5462969	10.0518973
Schäferstraße		PK 17		okay		53.5690127	9.9665473
Schaudinnstwiete		PK 31	Freigabe 6/2012	okay		53.5988863	10.0369969
Schedestraße		PK 23		okay		53.5936731	9.9811027
Schellerdamm		WSPK3	Freigabe 6/2012	okay		53.4660296	9.9869048
Scheteligsweg		PK 42		okay		53.5509158	10.0822012
Schlüterstraße		PK 17		okay		53.5669467	9.9865204
Schneeglöckchenweg		PK 37	frei 1/2014	okay		53.5859279	10.0795011
Schneverdinger Weg		PK 46		okay		53.4405002	9.9920194
Schopstraße		PK 23		okay		53.5784304	9.9461469
Schrötteringksweg		PK 31		okay		53.5698996	10.0235503
Schulbergredder		PK 35		okay		53.6585978	10.0819418
Schurzallee-Nord		PK 41		okay		53.5502018	10.0674213
Schwarze Straße		PK 41		okay		53.5575098	10.0434176
Schwenckestraße (teilweise freigegeben)		PK 23		pruefen			
Schwengelkamp		PK 25	Freigabe 6/2012	okay		53.5543035	9.9065004
Seebeckring		PK 36		pruefen			
Seestraße		PK 25		okay		53.5706033	9.8749657
Seestücken		PK 46	Freigabe 2012	okay		53.4520665	9.9526545
Selliusstraße		PK 23		okay		53.5807523	9.9503506
Silcherstraße		PK 25	Freigabe 5/2012	okay		53.5686753	9.9034809
Slomanstr.		PK 44	Freigabe 3/2012	pruefen			
Smidtstraße		PK 41	Freigabe 5/2012	okay		53.5637785	10.0610336
Soester Straße		PK 11	Freigabe 6/2012	okay		53.5568705	10.0118391
Soltauer Ring		PK 46	Freigabe 2012	okay		53.4377629	9.9891989
Sonnentauweg		PK 36		okay		53.6158173	10.0705602
Spengelweg		PK 23		okay		53.573915	9.9436953
Sportplatzring		PK 27		okay		53.5930525	9.929812
St. Georgs Kirchhof		PK 11		okay		53.5567365	10.0068048
St. Georgstraße		PK 11		okay		53.5561355	10.0070042
Stammanstraße		PK 33		pruefen			
Stapelstraße		PK 23		okay		53.6004721	9.9601569
Starstraße		PK 31	Freigabe 6/2012	okay		53.5892588	10.0488011
Steendiek		PK 47	Freigabe 6/2012	okay		53.5327762	9.8799274
Steindamm		PK 11		okay		53.5524856	10.0102363
Stemmeshay		PK 38		okay		53.5926934	10.1297417
Sternbergweg		PK 26	Freigabe 6/2012	okay		53.5653546	9.8481458
Stockhausenstraße		PK 31		okay		53.5865489	10.0378848
Stübenhofer Weg		PK 44		okay		53.4840643	10.0124807
Stuvkamp		PK 31	Freigabe 6/2012	okay		53.5781654	10.0435664
Sudeckstraße		PK 23		okay		53.5879022	9.9798623
Suhrsweg		PK 31	Freigabe 6/2012	okay		53.5922869	10.0445265
Susannenstraße		PK 16		okay		53.5621744	9.9630629
Talstraße		PK 15	Freigabe 2012	okay		53.6232954	10.0344257
Talstraße		PK 15	Freigabe 2012	okay		53.6232954	10.0344257
Tangstedter Landstraße		PK 34		okay		53.6675295	10.0246791
Tannenberg		PK 25	Freigabe 5/2012	okay		53.5828762	9.8769291
Teerosenweg		PK 36		okay		53.6029287	10.0647246
Tieloh		PK 31		okay		53.5910227	10.0529317
Tilsiter Straße		PK 37		okay		53.5898498	10.0806278
Tivoliweg		PK 46		okay		53.4471522	9.991793
Töpferhof		PK 43		okay		53.4844025	10.2148931
Trelder Weg		PK 46	Freigabe 2012	okay		53.4395425	9.9899158
Trencknerweg		PK 25	Freigabe 6/2012	pruefen			
Trittauer Amtsweg		PK 36		okay		53.6147747	10.0831815
Ulmenau		PK 31	Freigabe 6/2012	okay		53.5687535	10.0261953
Valparaisostraße		PK 25	Freigabe 6/2012	okay		53.5655328	9.9161554
Veilchenweg		PK 23		okay		53.5889855	9.9631302
Vinzenzweg		PK 46		okay		53.4487264	9.9835525
Vogelhüttendeich		PK 44	Freigabe 3/2012	okay		53.51295	10.0061016
Vogesenstraße		PK 37	Freigabe 5/2012	okay		53.5818591	10.0591316
Voigtstraße		PK 23		okay		53.5757734	9.9423172
Von-Graffen-Straße		PK 41	Freigabe 5/2012	okay		53.5547679	10.0393991
von-Heß-Weg		PK 41	Freigabe 5/2012	okay		53.5567063	10.0649857
von-Hutten-Straße (nördl. Wormser Str.)		PK 25		pruefen			
Wackerhagen		PK 41	Freigabe 5/2012	okay		53.5515305	10.0602388
Wagnerkoppel		PK38		okay		53.5966221	10.1151204
Waitzstraße (Teilstück frei)		PK 25	Freigabe 6/2012	pruefen			
Walsroder Ring		PK 46	Freigabe 2012	okay		53.4353109	9.989245
Walther-Kunze-Straße (Verbot der   Einfahrt/Spielstr.)		PK 21	Freigabe 6/2012	pruefen			
Washingtonring		PK 42	Freigabe 6/2012	okay		53.5450613	10.0947509
Wattenbergstrasse		PK 46		pruefen			
Wedeler Landstraße		PK 26	Freigabe 6/2012	okay		53.5844826	9.7460199
Weimarer Straße		PK 44	Freigabe 2/2012	okay		53.5149502	9.9884079
Weißenburger Straße		PK 37		okay		53.5815355	10.0608138
Weizenkamp		PK 31	Freigabe 6/2012	okay		53.5816244	10.0474741
Wendloher Weg		PK 23		okay		53.5962699	9.9799174
Werfelring		PK 36		okay		53.6287584	10.1159145
Wetkesgarten		PK 41	Freigabe 5/2012	okay		53.5523856	10.0615863
Wiebischenkamp		PK 27		okay		53.6141846	9.9080495
Wiedehopfstieg		PK 36		okay		53.5926093	10.0697038
Wienbargstraße		PK 25	Freigabe 6/2012	okay		53.5644187	9.9019095
Wiesenstraße		PK 23		okay		53.5770253	9.9546848
Wikingstraße		PK 47	Freigabe 6/2012	okay		53.5329505	9.8606313
Wilhelmsburger Str		PK 44	Freigabe 3/2012	pruefen			
Wilhelmstraße		PK 46		okay		53.4589659	9.9762051
Wittenkamp		PK 36		okay		53.5968307	10.0486858
