name	id	lat	lon
Diekwisch	150294459	53.6586484	10.0154973
Weygandtstraße	150294488	53.6696933	10.014464
Hinschstraße	150612218	53.6015538	9.912896
Eutiner Straße	151467940	53.6069153	10.1649237
Grubesallee	151467952	53.6060929	10.1521202
Grömitzer Weg	151467953	53.6068778	10.1363343
Kroogblöcke	151541537	53.553369	10.0939928
Bergstieg	151542475	53.5518892	10.0884738
Hasencleverstraße	151542476	53.5513023	10.0893107
Posteltsweg	151542477	53.5507983	10.0860733
Sandkampweg	151542481	53.551298	10.0900742
Mahlhaus	151681183	53.6088675	10.1149632
Helma-Steinbach-Weg	151772501	53.5463907	10.0958621
Kreuzkirchenstieg	151775301	53.541915	10.0985998
Am Stadtrand	152294748	53.5951525	10.0980353
Rahel-Varnhagen-Weg	152452838	53.4860028	10.1823882
Brookdeich	152467079	53.4801726	10.2271318
Femerlingstraße	152832979	53.4577842	9.958462
Hastedtplatz	152832993	53.4556687	9.9757056
Steinikestraße	152833032	53.455315	9.9758057
Gottschalkring	153148974	53.4521014	9.9702176
Dietrich-Schreyge-Straße	153407193	53.4861297	10.2089712
Wilhelmsburger Straße	153838850	53.526505	10.0183304
Alte Holstenstraße	154188892	53.4898281	10.209286
Reetwerder	154188996	53.4906193	10.2094325
Contastraße	154295960	53.5797937	9.9652035
Wördenmoorweg	156353774	53.654899	10.0186164
Baererstraße	160532088	53.4536018	9.9864788
Gerade Straße	160532090	53.4529261	9.9859146
Gerade Straße	160532092	53.4528179	9.9831642
Uferstraße	167645122	53.5710899	10.0398792
Uferstraße	167645130	53.5714846	10.0412689
Helene-Lange-Straße	174630128	53.5743228	9.9765882
Justus-Brinckmann-Straße	174990939	53.4814917	10.2296384
Friedrich-Ebert-Damm	175507277	53.5880979	10.0929074
Grillparzerbrücke	179740698	53.5780231	10.0138768
Böttcherkoppel	180233945	53.4991367	10.2062138
Hofstückenweg	183993324	53.6237916	10.1693571
Oberschlesische Straße	185778859	53.5834074	10.069316
Heideweg	186597644	53.5700907	10.024952
Friedrich-Ebert-Damm	192984255	53.6023862	10.1161659
Strandweg	218338116	53.5583779	9.7970108
Krohnstieg	220655999	53.648304	10.0080814
Brookdeich	225021826	53.4775683	10.2384797
Soltaustraße	225021830	53.4828104	10.220404
Lohbrügger Markt	230396458	53.4948359	10.2066722
Maisredder	234417019	53.6270276	10.08901
Försterweg	242398151	53.5801536	9.9338606
Große Rainstraße	242453733	53.5548891	9.9341777
Karl-Theodor-Straße	242977308	53.5485891	9.9313646
Haubachstraße	243212689	53.5586611	9.9409045
Christian-Frederik-Hansen-Straße	244107382	53.5488057	9.8592376
Niendorfer Weg	246368076	53.6100845	9.9682634
Schrankenweg	246719013	53.6057421	10.1560602
Carlssonweg	246721893	53.6048423	10.1350498
Erikastraße	247724172	53.5951705	9.9872903
Wieddüp	248646190	53.6216081	9.9386835
Krohnstieg	250183211	53.6489028	10.0112957
Krohnstieg	250183216	53.649028	10.0117451
Krohnstieg	250183217	53.6491225	10.0121862
Krohnstieg	250183218	53.6492839	10.0139233
Krohnstieg	250193936	53.6492546	10.0132353
Walkmühlenweg	251048043	53.4594891	9.981926
Brookdeich	254354446	53.4789307	10.2310514
Öjendorfer Weg	268693558	53.5394938	10.1082268
Trenknerweg	270309306	53.5484793	9.9050499
Singelmannsweg	276626909	53.5831835	10.1233968
